,Calle Counts,Altura
"PAZ, GRAL. AV.",61.0,
RIVADAVIA AV.,20.0,
DEL LIBERTADOR AV.,19.0,
AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,14.0,
"ALBERDI, JUAN BAUTISTA AV.",13.0,
AUTOPISTA PERITO MORENO,13.0,
AUTOPISTA 25 DE MAYO,12.0,
CORRIENTES AV.,11.0,
SAN MARTIN AV.,11.0,
CORDOBA AV.,10.0,
DIRECTORIO AV.,9.0,
"PERON, EVA AV.",9.0,
"JUSTO, JUAN B. AV.",9.0,
27 DE FEBRERO AV.,8.0,
AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8.0,
LA PLATA AV.,8.0,
"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,
"MORENO, PERITO AV.",8.0,
ENTRE RIOS AV.,8.0,
"LUGONES, LEOPOLDO AV.",7.0,
INDEPENDENCIA AV.,7.0,
"ALCORTA, AMANCIO AV.",7.0,
SANTA FE AV.,7.0,
CABILDO AV.,7.0,
NAZCA AV.,6.0,
"RABANAL, FRANCISCO, INTENDENTE AV.",6.0,
GAONA AV.,6.0,
SAN JUAN AV.,6.0,
"FIGUEROA ALCORTA, PRES. AV.",6.0,
"SALGUERO, JERONIMO",5.0,
9 DE JULIO AV.,5.0,
DE LOS CONSTITUYENTES AV.,5.0,
BELGRANO AV.,5.0,
CASTA?ARES AV.,4.0,
CASEROS AV.,4.0,
"GARAY, JUAN DE AV.",4.0,
RIESTRA AV.,4.0,
ALVAREZ THOMAS AV.,4.0,
LAS HERAS GENERAL AV.,4.0,
"SCALABRINI ORTIZ, RAUL AV.",4.0,
BARCO CENTENERA DEL,4.0,
LIMA,4.0,
"DELLEPIANE, LUIS, TTE. GRAL.",4.0,
"MITRE, BARTOLOME",4.0,
MEXICO,3.0,
AUTOPISTA ARTURO ILLIA,3.0,
TUCUMAN,3.0,
"CANTILO, INT.",3.0,
BOYACA AV.,3.0,
"FALCON, RAMON L.,CNEL.",3.0,
"ALEM, LEANDRO N. AV.",3.0,
"IRIARTE, GRAL. AV.",3.0,
AVELLANEDA AV.,3.0,
24 DE NOVIEMBRE,3.0,
SAN PEDRITO AV.,3.0,
CALLAO AV.,3.0,
"CASTILLO, RAMON S., PRES. AV.",3.0,
SAENZ AV.,3.0,
ROSARIO,3.0,
VIEYTES,3.0,
"ROCA, CNEL. AV.",3.0,
NUEVA YORK,3.0,
PASEO COLON AV.,3.0,
"ACHAVAL RODRIGUEZ, T., DR. AV.",3.0,
MONROE,3.0,
LAFUENTE AV.,3.0,
"PELLEGRINI, CARLOS",3.0,
"LACROZE, FEDERICO AV.",3.0,
"PERON, JUAN DOMINGO, TTE. GENERAL",3.0,
OLIVERA AV.,3.0,
PIEDRA BUENA AV.,2.0,
FRAY JUSTO SANTAMARIA DE ORO,2.0,
"ACOSTA, MARIANO",2.0,
"LARRALDE, CRISOLOGO AV.",2.0,
BRASIL,2.0,
PARAGUAY,2.0,
CHILE,2.0,
"DE LA TORRE, LISANDRO",2.0,
ESTADOS UNIDOS,2.0,
SAN LUIS,2.0,
CAMARONES,2.0,
"UDAONDO, GUILLERMO AV.",2.0,
LAVALLE,2.0,
SUIPACHA,2.0,
PAVON AV.,2.0,
"MONTES DE OCA, MANUEL AV.",2.0,
AUTOPISTA BUENOS AIRES - LA PLATA,2.0,
AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,2.0,
ELCANO AV.,2.0,
TRIUNVIRATO AV.,2.0,
AUSTRALIA AV.,2.0,
OLIDEN,2.0,
MAZA,2.0,
MORENO,2.0,
VARELA AV.,2.0,
"BROWN, ALTE. AV.",2.0,
IRIGOYEN,2.0,
ARENALES,2.0,
REPUBLICA BOLIVARIANA DE VENEZUELA,2.0,
BERMUDEZ,2.0,
CASTRO,2.0,
NOGOYA,2.0,
15 DE NOVIEMBRE DE 1889,2.0,
PICHINCHA AV.,2.0,
LUGONES,2.0,
MURGUIONDO,2.0,
SALTA,2.0,
MOSCONI GENERAL AV.,2.0,
SOLIS,2.0,
MOZART,2.0,
"HUERGO, ING. AV.",2.0,
TAPALQUE,1.0,
BAIGORRIA,1.0,
ESMERALDA,1.0,
"MADERO, EDUARDO AV.",1.0,
GANDARA,1.0,
"CHILAVERT, MARTINIANO, CORONEL",1.0,
"GUEVARA, TRINIDAD",1.0,
"BEIRO, FRANCISCO AV.",1.0,
ARTILLEROS,1.0,
"NEWBERY, JORGE AV.",1.0,
"ACOSTA, MARIANO AV.",1.0,
"ALSINA, ADOLFO",1.0,
CIUDAD DE LA PAZ,1.0,
ASTURIAS AV.,1.0,
"FILIBERTO, JUAN DE DIOS",1.0,
CHICLANA AV.,1.0,
"CARRILLO, RAMON, DR.",1.0,
"LAMARCA, EMILIO",1.0,
"PINO, VIRREY DEL",1.0,
SALVIGNY,1.0,
CHACABUCO,1.0,
"OBLIGADO RAFAEL, AV.COSTANERA",1.0,
LANTERI JULIETA,1.0,
ANTARTIDA ARGENTINA AV.,1.0,
"ALVAREZ, DONATO, TTE. GRAL.",1.0,
RIGLOS,1.0,
LA RIOJA,1.0,
PUAN,1.0,
BOEDO AV.,1.0,
SANTANDER,1.0,
11 DE SEPTIEMBRE DE 1888,1.0,
PAYSANDU,1.0,
FOREST AV.,1.0,
CURAPALIGUE,1.0,
BRASIL AV.,1.0,
CONSTITUCION,1.0,
PUEYRREDON AV.,1.0,
"BRAVO, MARIO",1.0,
"ARAOZ DE LAMADRID, GREGORIO, GRAL.",1.0,
COREA AV.,1.0,
"YRIGOYEN, HIPOLITO",1.0,
"GARZON, EUGENIO, GRAL. AV.",1.0,
POTOSI,1.0,
"DIAZ, ANA",1.0,
COLOMBRES,1.0,
DORREGO AV.,1.0,
INCLAN,1.0,
"JAURES, JEAN",1.0,
OLAZABAL AV.,1.0,
HOMERO,1.0,
JUJUY AV.,1.0,
BOGOTA,1.0,
ALVAREZ JONTE AV.,1.0,
"CASTRO, EMILIO AV.",1.0,
COMBATIENTES DE MALVINAS AV.,1.0,
RODRIGUEZ PE?A,1.0,
LOPE DE VEGA AV.,1.0,
CARDOSO,1.0,
CORRALES,1.0,
"CASTRO, EMILIO",1.0,
PRIMERA JUNTA,1.0,
TABARE,1.0,
SAN ANTONIO,1.0,
"EINSTEIN, ALBERTO",1.0,
AGRELO,1.0,
MONTE,1.0,
TANDIL,1.0,
"BRIN, MINISTRO",1.0,
FINOCHIETTO ENRIQUE DR.,1.0,
NIZA,1.0,
CAMARGO,1.0,
GUZMAN,1.0,
IBARROLA,1.0,
SANTO TOME,1.0,
URIARTE,1.0,
"VEDIA, AGUSTIN DE",1.0,
SARAZA,1.0,
"JANER, ANA MARIA",1.0,
CAPDEVILA,1.0,
GUALEGUAYCHU,1.0,
"BOSCH, VENTURA",1.0,
"ARTIGAS, JOSE GERVASIO, GRAL.",1.0,
"GARCIA, MARTIN AV.",1.0,
NU?EZ,1.0,
OLAVARRIA,1.0,
"CABRERA, JOSE A.",1.0,
TRAFUL,1.0,
DONADO,1.0,
SARMIENTO,1.0,
GODOY CRUZ,1.0,
"GUIRALDES, INT.",1.0,
"FERNANDEZ MORENO, BALDOMERO",1.0,
ARGENTINA AV.,1.0,
ESCALADA AV.,1.0,
MAIPU,1.0,
SUAREZ AV.,1.0,
CASCO,1.0,
DE MAYO AV.,1.0,
TACUARI,1.0,
"LEGUIZAMON, MARTINIANO",1.0,
CHIVILCOY AV.,1.0,
MADERO,1.0,
ARAOZ,1.0,
GARMENDIA AV.,1.0,
"CASTILLA, RAMON, MARISCAL",1.0,
LARRAZABAL AV.,1.0,
REGIMIENTO DE PATRICIOS AV.,1.0,
HOLMBERG,1.0,
CURAPALIGUE AV.,1.0,
VIAMONTE,1.0,
HERRERA,1.0,
"MORENO, JOSE MARIA AV.",1.0,
"GORDILLO, TIMOTEO",1.0,
"CAMPOS, LUIS M. AV.",1.0,
JURAMENTO AV.,1.0,
CIUDADELA,1.0,
"MAGARI?OS CERVANTES, A.",1.0,
CERETTI,1.0,
MERCEDES,1.0,
ZINNY,1.0,
ARIAS,1.0,
ASAMBLEA AV.,1.0,
MIRAVE,1.0,
SUPERI,1.0,
"HUGO, VICTOR",1.0,
"BONIFACIO, JOSE",1.0,
DE LOS CORRALES AV.,1.0,
ALBERTI,1.0,
QUESADA,1.0,
CALIFORNIA,1.0,
"CARRIL, SALVADOR MARIA DEL AV.",1.0,
COMBATE DE LOS POZOS,1.0,
CARABOBO AV.,1.0,
"CHAVEZ, JORGE",1.0,
"URQUIZA, GRAL.",1.0,
CASTANARES AV.,1.0,
BRANDSEN,1.0,
LARRAZABAL,1.0,
"MOREAU DE JUSTO, ALICIA AV.",1.0,
LACARRA AV.,1.0,
AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,1.0,
"RAWSON DE DELLEPIANE, ELVIRA AV.",1.0,
FAMATINA,1.0,
DE LOS ITALIANOS AV.,1.0,
MU?ECAS,1.0,
"VILARDEBO, TEODORO",1.0,
"FREIRE, RAMON, CAP. GRAL.",1.0,
USPALLATA,1.0,
"TRELLES, MANUEL R.",1.0,
ALVEAR AV.,1.0,
ALBARI?O,1.0,
"RAMIREZ DE VELASCO, JUAN",1.0,
GALLO,1.0,
"ARANGUREN, JUAN F., DR.",1.0,
CHORROARIN,1.0,
COSQUIN,1.0,
WARNES AV.,1.0,
CACHI,1.0,
PLAZA,1.0,
PERU,1.0,
"PUEYRREDON, HONORIO, DR. AV.",1.0,
VALLE,1.0,
PILCOMAYO,1.0,
CERVANTES,1.0,
CONGRESO AV.,1.0,
ISABEL LA CATOLICA,1.0,
"BILBAO, FRANCISCO AV.",1.0,
PADRE CARLOS MUJICA,1.0,
0,,
1,,
2,,2034.0
3,,
4,,
5,,
6,,
7,,
8,,
9,,1366.0
10,,
11,,
12,,
13,,
14,,156.0
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,1483.0
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,30.0
44,,1471.0
45,,
46,,
47,,
48,,
49,,
50,,
51,,3900.0
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,2384.0
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,1410.0
89,,
90,,
91,,
92,,
93,,
94,,4233.0
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,3500.0
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,984.0
116,,
117,,
118,,
119,,4895.0
120,,
121,,
122,,
123,,
124,,15200.0
125,,900.0
126,,
127,,5645.0
128,,
129,,
130,,
131,,
132,,
133,,
134,,300.0
135,,
136,,
137,,4500.0
138,,
139,,
140,,
141,,
142,,
143,,
144,,3319.0
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,3055.0
155,,
156,,
157,,
158,,
159,,
160,,
161,,7121.0
162,,
163,,
164,,
165,,1429.0
166,,
167,,
168,,
169,,
170,,
171,,
172,,2651.0
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,2699.0
181,,2186.0
182,,
183,,5940.0
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,4900.0
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,2950.0
204,,
205,,3696.0
206,,
207,,
208,,133.0
